Nome,Dia,Data,Semana,Objetivo,Tarefas,Entregável,Está feito quando,Estado,Tempo (min),Aprendizagem
Dia 01 · Agência e sub-contas,1,2026-09-22,Semana 1 — construir,Perceber Agency view vs Sub-account view; criar as primeiras sub-contas,Criar sub-conta 'Pacheco Studios'; criar sub-conta 'Restaurante Teste'; criar utilizador com permissões de cliente e entrar com ele; anotar o que o cliente vê,Duas sub-contas criadas e um login de cliente testado,Consigo explicar em 3 frases a um cliente o que ele vai ver,Por fazer,60,
"Dia 02 · Contactos, pipeline e etiquetas",2,2026-09-23,Semana 1 — construir,Montar o CRM à medida da prospeção porta-a-porta,"Pipeline 'Vendas Pacheco' (Lista A/B → Contactado → Demo vista → Proposta → Fechado → Mensalidade ativa); campos Zona, Tipo de negócio, Rating Google, Tem site?; importar 10 contactos reais por CSV; etiquetas restaurante/loja/cabeleireiro",Pipeline com 10 oportunidades reais,Arrasto uma oportunidade e o 'próximo passo' faz sentido para amanhã,Por fazer,60,
Dia 03 · Calendário de reservas,3,2026-09-24,Semana 1 — construir,O calendário que um restaurante usaria,"Calendário 'Reservas' (90 min, 12–15/19–23, fecha à terça); página pública; confirmação por e-mail e WhatsApp/SMS; 2 reservas de teste pelo telemóvel",Link público de reserva a funcionar,A reserva do telemóvel aparece no calendário e recebo confirmação nos dois canais,Por fazer,60,
Dia 04 · Formulários e sites,4,2026-09-25,Semana 1 — construir,Ligar os sites Pacheco ao HighLevel sem os refazer,Formulário 'Contacto' igual ao dos sites; código de embed; testar numa demo local; ver o contacto entrar no pipeline; decidir que o construtor de sites só serve para landing pages,Formulário embebido que cria contacto + oportunidade,Submeto no telemóvel e o contacto aparece em menos de 10 s,Por fazer,60,
Dia 05 · Workflow 'pedido de review',5,2026-09-26,Semana 1 — construir,O primeiro workflow que um restaurante paga,Visita concluída → 2 h → WhatsApp/SMS com link de review Google → sem abertura em 2 dias → e-mail; link curto do Google Business; mensagem em PT-PT,Workflow ativo e testado,Recebo a mensagem 2 h depois de marcar a visita como concluída,Por fazer,60,
Dia 06 · Conversations + WhatsApp,6,2026-09-27,Semana 1 — construir,Custo e processo real do WhatsApp na Europa antes de o prometer,"Ligar Instagram DM e Messenger; ler o guia oficial de WhatsApp para agências; ativar WhatsApp no número de teste; registar custo por conversa, tempo de aprovação Meta, o que o cliente tem de dar; 5 mensagens de teste",Inbox com Instagram + WhatsApp a receber,Tenho escrito o custo mensal de WhatsApp para 200 conversas/mês,Por fazer,60,
Dia 07 · Reputação e widget de reviews,7,2026-09-28,Semana 1 — construir,Fechar o ciclo das reviews e mostrá-las no site,Ligar Google Business Profile; ativar Reputation Management; widget de reviews numa demo local; respostas a reviews em rascunho (nunca automáticas),Widget de reviews a funcionar numa demo,O widget mostra reviews reais e o pedido do dia 5 aponta para o sítio certo,Por fazer,60,
Dia 08 · Missed-call text-back e lembretes,8,2026-09-29,"Semana 2 — automatizar, cobrar, clonar",Os dois automatismos que um restaurante entende à primeira,Chamada perdida → mensagem automática com link de reserva; lembrete 3 h antes; cliente inativo 60 dias → sugestão; testar as três,Três workflows ativos,"Ligo, desligo, e recebo a mensagem em menos de 1 minuto",Por fazer,60,
Dia 09 · E-mail marketing (substitui o Brevo),9,2026-09-30,"Semana 2 — automatizar, cobrar, clonar",Confirmar que o e-mail do HighLevel chega à inbox,"Domínio de envio com DKIM/SPF; template de newsletter estilo Pacheco; enviar para 3 endereços (Gmail, Outlook, outro); ver onde cai; anotar limites e custos",Newsletter de teste entregue na inbox,3 de 3 chegam à caixa de entrada,Por fazer,60,
Dia 10 · Redes sociais e conteúdo,10,2026-10-01,"Semana 2 — automatizar, cobrar, clonar",Ver se o Social Planner substitui o Instagram à mão,Ligar Instagram de teste; agendar 3 publicações com os destaques de social/; testar carrosséis e stories; decidir se entra no pacote Pro,"Decisão escrita: entra / não entra, e porquê",A decisão cabe numa frase que posso dizer a um cliente,Por fazer,60,
