negocio;zona;morada;demo;place;whatsapp;wifi;instagram
Pizza Nico;Nicolina;Șos. Nicolina 24, bl. 949;;;;;
Berăria Veche;Sărărie;Str. Sărărie 212;;;;;
Mamma Mia – Restaurant & Catering;Centro;Bd. Ștefan cel Mare 10-12;;;;;
Warda;Centro?;Str. Sfântul Teodor 20;;;;;
Bistro La noi;Centro;Bd. Ștefan cel Mare 8;;;;;
Cafeneaua Piața Unirii;Centro;Piața Unirii 6;;;;;
Fat Cat Coffee;Nicolina;Șos. Nicolina 2AB;;;;;
Cafeneaua Lăpușneanu;Centro;Str. Lăpușneanu 4;;;;;
Moft Concept;Tudor;Bd. Tudor Vladimirescu 46;;;;;
Dynamite Copou;Copou;Aleea Mihail Sadoveanu 4;;;;;
Harmony Cafe;Copou;Bd. Carol I 27;;;;;
Stop Coffee;Centro;Str. Cuza Vodă 9;;;;;
Fika Iași;Centro;Piața Unirii 7;;;;;
Cafeneaua Noastră;Centro;Str. Sfântul Lazăr 30;;;;;
Barber Shop 93;Tudor;Bd. Tudor Vladimirescu 93;;;;;
Barberland;Podu Roș;Splai Bahlui 18;;;;;
Weekend Salon;Tătărași;Str. Vasile Lupu 78A;;;;;
Salon frizerie Ciurchi;Tătărași;Complex Comercial Ciurchi;;;;;
Beauty.Que;Centro;Str. Gării 4;;;;;
Bisou;Centro;Str. Sf. Lazăr 2;;;;;
Sir John's Barbershop;Centro;Str. Costache Negruzzi 1;;;;;
SALON 11;Nicolina;Str. Nicolina 2A;;;;;
Trend Barbershop;Nicolina;Str. Nicolina 4A;;;;;
Brutăria Rondul Vechi;CUG;Rond Vechi;;;;;
Cofetăria Blanca;Canta;Calea Chișinăului 29;;;;;
Salon Corina;?;Str. Crișului 15;;;;;
Avangarde Style;Canta;Str. Canta;;;;;
Pan Artisan;?;Str. Pepinierii 15;;;;;
